timestamp,price_No,price_Yes,price_Yes_nuclear,Country Hourly - Belgium,BE Temp (C),BE Precipitation (mm),BE Wind Speed (km/h),pct_BE_actual_load,pct_BE_forecast_load,pct_BE_forecast_vs_actual_load
2025-05-04 00:00:00+00:00,0.835,0.16499999999999998,0.16499999999999998,34.12,10.881249,0.8000001,12.823825,-3.130756444440086,-1.8512705580911448,0.23033085219748006
2025-05-05 00:00:00+00:00,0.8200000000000001,0.18,0.18,67.64583333333333,9.822917,0.0,13.023584,13.360872563154258,14.250555542249144,1.01696222977945
2025-05-06 00:00:00+00:00,0.8,0.2,0.2,78.84958333333334,10.85625,0.0,13.854092,-0.9673592804411157,0.2269624252001945,2.235214613562908
2025-05-07 00:00:00+00:00,0.83,0.17,0.17,89.56875000000001,11.635415,0.0,12.25663,1.360908337152389,3.4069180959396705,4.298872588048441
2025-05-08 00:00:00+00:00,0.83,0.17,0.17,89.5,13.779166,0.0,12.148432,0.4161789113741321,-2.105506549432845,1.6796835944504096
2025-05-09 00:00:00+00:00,0.81,0.19,0.19,71.54625,14.243751,0.0,13.135298,-1.5736811243353577,-2.3545936478932883,0.8729589376986091
2025-05-10 00:00:00+00:00,0.83,0.17,0.17,42.879999999999995,16.15833,0.0,11.503355,-10.855693433327286,-12.190716305371174,-0.6377119344995186
2025-05-11 00:00:00+00:00,0.85,0.15,0.15,-11.420416666666668,18.952084,0.0,11.212554,-1.8260724126420436,-1.3449884954401692,-0.1508046675761543
2025-05-12 00:00:00+00:00,0.84,0.16,0.16,63.553333333333335,19.33125,0.1,7.9838133,16.248759165010917,13.219394005947361,-2.7528081269955984
2025-05-13 00:00:00+00:00,0.85,0.15,0.15,70.95125,19.027084,0.0,6.429214,0.5507152533070103,0.32772854443536836,-2.9684687636021168
2025-05-14 00:00:00+00:00,0.84,0.16,0.16,58.97833333333333,17.477083,0.0,10.33698,-0.6576020923263592,3.6387820444240493,1.227974450463476
2025-05-15 00:00:00+00:00,0.84,0.16,0.16,67.53,13.560416,0.0,13.3000965,-0.6912362299418828,0.11374048690435679,2.0485079002082074
2025-05-16 00:00:00+00:00,0.85,0.15,0.15,67.76875,12.708332,0.0,12.2306595,-3.2784800442289264,-2.2322899636654348,3.1523174428035317
2025-05-17 00:00:00+00:00,0.86,0.14,0.14,60.87416666666667,14.045831,0.1,11.681871,-8.534718727322444,-11.218929679061295,0.1251296801401125
2025-05-18 00:00:00+00:00,0.85,0.15,0.15,64.04958333333333,12.891665,0.3,7.5245504,-1.8876585734358464,-2.442406972865263,-0.4409994594268385
2025-05-19 00:00:00+00:00,0.86,0.14,0.14,83.04083333333334,16.102083,0.0,8.980183,11.652696298043775,15.054296629466846,2.592155497538573
2025-05-20 00:00:00+00:00,0.86,0.14,0.14,80.96416666666666,16.979166,0.0,10.326404,1.3555469302322987,0.103751906391647,1.3250876988190274
2025-05-21 00:00:00+00:00,0.87,0.13,0.13,98.19125000000001,13.835418,0.2,8.219659,3.156772287256948,0.34388189641716416,-1.4378561120374278
2025-05-22 00:00:00+00:00,0.86,0.14,0.14,61.15083333333333,11.677085,0.4,12.782817,-1.0315932275154927,0.701390576538885,0.2880138359691031
2025-05-23 00:00:00+00:00,0.86,0.14,0.14,68.04583333333333,10.970834,0.5,11.018733,-2.1719999144625857,-1.9404891592188278,0.5253462336953341
2025-05-24 00:00:00+00:00,0.87,0.13,0.13,44.10833333333333,12.55,6.799999,17.637335,-10.100530452287638,-8.663130044838452,2.1326435221247664
2025-05-25 00:00:00+00:00,0.87,0.13,0.13,20.13625,16.145836,3.0,19.747574,-1.6981002989956084,-3.82112817193605,-0.07311699312544384
2025-05-26 00:00:00+00:00,0.87,0.13,0.13,58.39958333333333,14.481248,0.9000001,16.845276,12.370763102216298,13.725715454957177,1.1317886379689002
2025-05-27 00:00:00+00:00,0.87,0.13,0.13,52.81791666666667,14.447915,11.4,22.633863,2.731885225654307,0.19537976313086514,-1.365209579785176
2025-05-28 00:00:00+00:00,0.86,0.14,0.14,79.21124999999999,15.795834,8.700001,18.038456,-2.7056862894780043,1.8354721984592093,3.238514920038549
2025-05-29 00:00:00+00:00,0.88,0.12,0.12,53.0825,15.068749,0.5,13.81439,-10.813537825313357,-13.696549242442435,-0.09873840232047515
2025-05-30 00:00:00+00:00,0.87,0.13,0.13,52.94625,19.170834,0.3,11.948254,4.70583415339092,7.091401121122698,2.177363513385777
2025-05-31 00:00:00+00:00,0.88,0.12,0.12,61.39875,19.387499,7.7,5.8697085,-3.4488537945959075,-5.771525359877505,-0.2806545027141616
2025-06-01 00:00:00+00:00,0.85,0.15,0.15,35.663333333333334,16.39375,0.4,14.198129,-2.089031631014371,-2.365568691124287,-0.5622990937060646
2025-06-02 00:00:00+00:00,0.87,0.13,0.13,77.205,14.760418,0.90000004,10.029942,14.840583527248352,14.524594654340305,-0.8359062634788583
2025-06-03 00:00:00+00:00,0.86,0.14,0.14,52.62958333333333,17.397917,0.0,14.121154,1.1750577618567348,1.5030449742701402,-0.5144381527049657
2025-06-04 00:00:00+00:00,0.85,0.15,0.15,75.00166666666667,15.845832,1.1,12.638206,1.9150714228286292,1.962160517210898,-0.4684715950006191
2025-06-05 00:00:00+00:00,0.85,0.15,0.15,73.75416666666666,15.156251,9.0,18.259602,-1.9334602953729352,-1.7941229111298473,-0.3270526884149416
2025-06-06 00:00:00+00:00,0.87,0.13,0.13,48.32708333333333,15.666665,3.3999999,18.368755,-1.5119196257627254,-2.4641400565382554,-1.2907288659286031
2025-06-07 00:00:00+00:00,0.87,0.13,0.13,64.56291666666667,14.233334,6.9999995,17.084663,-11.916687104304625,-9.741236440814838,1.1471579746298532
2025-06-08 00:00:00+00:00,0.85,0.15,0.15,21.264583333333334,13.185414,1.5000001,18.781912,-0.9071397425252647,-2.1894664181387524,-0.16175266228533047
2025-06-09 00:00:00+00:00,0.844,0.156,0.156,44.28333333333333,14.110417,0.0,10.952105,-0.3570654965870723,1.098465543843874,1.2966314042466287
2025-06-10 00:00:00+00:00,0.88,0.12,0.12,67.72833333333334,15.404167,0.7,14.117946,14.811876455405159,14.372785416937672,0.9092285984591442
2025-06-11 00:00:00+00:00,0.88,0.12,0.12,74.39375,16.295834,0.0,8.332089,0.5307611769681975,1.5072629579572006,1.8894066085625605
2025-06-12 00:00:00+00:00,0.84,0.16,0.16,52.528333333333336,22.56458,0.0,11.2891445,1.0094249771568364,-0.7292973951752879,0.13553670172943288
2025-06-13 00:00:00+00:00,0.76,0.24,0.24,69.99291666666666,26.21875,0.0,8.028857,2.9676877546889857,-1.4905737047040457,-4.200099202385809
2025-06-14 00:00:00+00:00,0.83,0.17,0.17,56.17291666666667,23.974998,6.2,11.067006,-12.387117792931225,-8.153007050653882,0.4296696039593595
2025-06-15 00:00:00+00:00,0.8180000000000001,0.182,0.182,64.57291666666667,18.927084,1.1,10.018296,-2.5884989954502835,-4.326362832530184,-1.3620396826725223
2025-06-16 00:00:00+00:00,0.8,0.2,0.2,85.62958333333334,19.370836,0.0,8.153749,14.29851544080627,14.341581289062844,-1.3248744805263724
2025-06-17 00:00:00+00:00,0.83,0.17,0.17,83.14208333333333,21.293753,0.0,5.3334856,2.4591648417209955,0.7160798409958868,-3.003583569199575
2025-06-18 00:00:00+00:00,0.8200000000000001,0.18,0.18,81.575,20.902082,0.0,7.828866,-0.0898724149125174,1.4001063220328902,-1.5570575609256565
2025-06-19 00:00:00+00:00,0.8200000000000001,0.18,0.18,69.90041666666666,21.814583,0.0,9.543051,0.812570198602991,-0.6380194154628427,-2.9735506589478877
2025-06-20 00:00:00+00:00,0.84,0.16,0.16,84.92999999999999,22.429167,0.0,10.900061,-1.055140599597959,1.0397098051014186,-0.9193166350646598
2025-06-21 00:00:00+00:00,0.83,0.17,0.17,70.99416666666666,25.202085,0.0,7.271925,-8.65101680965832,-11.398069355435359,-3.89887736983322
2025-06-22 00:00:00+00:00,0.85,0.15,0.15,38.19166666666667,23.981249,0.5,14.092636,-4.818500425606498,-0.2631058910979589,0.7005304010795577
2025-06-23 00:00:00+00:00,0.91,0.09,0.09,39.905,19.127083,1.1,18.92103,11.452091007026599,11.89536921376173,1.10104644461122
2025-06-24 00:00:00+00:00,0.86,0.14,0.14,57.28208333333333,18.402086,0.4,18.008244,0.1954897438745773,1.3648604405668063,2.2809857953690393
2025-06-25 00:00:00+00:00,0.9,0.1,0.1,89.2575,23.127083,3.1000001,8.275971,1.552359715762286,0.44995670422054435,1.170673173585901
2025-06-26 00:00:00+00:00,0.9,0.1,0.1,87.32,20.439585,7.0999994,16.907219,-2.12166089618554,0.5853958535759318,3.968787201675239
2025-06-27 00:00:00+00:00,0.9,0.1,0.1,83.78625000000001,18.654167,1.0,12.249523,1.2785006607815896,-1.1558182444009635,1.469804865022728
2025-06-28 00:00:00+00:00,0.9,0.1,0.1,50.524166666666666,21.045837,0.3,14.062682,-7.555812912531168,-11.033915502243474,-2.3478758588578286
2025-06-29 00:00:00+00:00,0.89,0.11,0.11,54.01708333333334,22.497917,0.0,7.9376707,-2.6896154490318236,-1.9144209663791045,-1.5699590085356374
2025-06-30 00:00:00+00:00,0.89,0.11,0.11,106.12958333333334,26.258331,0.0,6.9022274,14.261189236988914,13.888627699520484,-1.8909012956739302
2025-07-01 00:00:00+00:00,0.89,0.11,0.11,152.35125000000002,30.22917,0.0,7.25629,7.307759138506742,2.95799905501406,-5.867790243850502
2025-07-02 00:00:00+00:00,0.89,0.11,0.11,118.32875,25.372915,3.8999999,9.855117,-0.2277210158941445,0.9601665731179043,-4.747053253233879
2025-07-03 00:00:00+00:00,0.88,0.12,0.12,90.86791666666666,18.181253,0.0,10.174537,-6.0166871332242415,-1.617950487544273,-0.28889345141951406
2025-07-04 00:00:00+00:00,0.9,0.1,0.1,72.86083333333333,19.654165,0.0,5.052321,-1.3530946235503105,-1.9189816168991514,-0.860885224227137
2025-07-05 00:00:00+00:00,0.91,0.09,0.09,42.32416666666666,19.8625,1.2,16.131657,-11.612736219135567,-9.814853351987606,1.1557007441028944
2025-07-06 00:00:00+00:00,0.91,0.09,0.09,77.16208333333334,17.072916,11.3,13.298315,-3.0845019919492844,-2.8537545682907006,1.396543723965027
2025-07-07 00:00:00+00:00,0.92,0.08,0.08,76.47250000000001,15.562501,5.1,12.778613,10.964012114038567,12.417167976821041,2.7244065073233736
2025-07-08 00:00:00+00:00,0.9299999999999999,0.07,0.07,84.07458333333334,14.752084,2.4,12.707954,3.6715685009792276,2.362897268624975,1.4276915294311632
2025-07-09 00:00:00+00:00,0.94,0.06,0.06,93.51125,17.647917,0.0,7.7207046,0.7829894443896368,-1.2240546613202063,-0.5921915040268511
2025-07-10 00:00:00+00:00,0.9299999999999999,0.07,0.07,91.085,19.8625,0.0,6.5729914,0.42899150577209166,-2.0743816548099314,-3.070109842246893
2025-07-11 00:00:00+00:00,0.9299999999999999,0.07,0.07,92.62124999999999,20.91875,0.0,9.214904,-1.3175879407203994,-0.8671110597636478,-2.627633075834701
2025-07-12 00:00:00+00:00,0.9299999999999999,0.07,0.07,70.93458333333334,20.91875,0.0,8.762196,-11.177858915494266,-9.76406778650134,-1.0777471252646276
2025-07-13 00:00:00+00:00,0.9299999999999999,0.07,0.07,71.765,20.887499,0.0,7.0236773,-2.235607222289726,-3.0986667326912243,-1.9510281707266763
2025-07-14 00:00:00+00:00,0.94,0.06,0.06,84.45666666666666,21.127085,0.3,12.595457,14.762128434769672,12.63290050058814,-3.770170187209332
2025-07-15 00:00:00+00:00,0.9299999999999999,0.07,0.07,67.92,19.314583,0.3,15.768898,-1.9056748569422743,0.4899516859964592,-1.4200777207409532
2025-07-16 00:00:00+00:00,0.92,0.08,0.08,81.80833333333334,19.004164,0.70000005,16.84734,-2.570024795093373,-0.08271421500003484,1.0965901030401515
2025-07-17 00:00:00+00:00,0.92,0.08,0.08,92.74624999999999,20.506248,0.0,5.823228,3.0833273300946207,-2.356506166853045,-4.2384008359761305
2025-07-18 00:00:00+00:00,0.9299999999999999,0.07,0.07,98.86166666666666,24.110418,0.0,5.834965,0.052173376701847296,0.7126470102441385,-3.6062505365963338
2025-07-19 00:00:00+00:00,0.9299999999999999,0.07,0.07,65.79833333333333,24.139587,1.1,13.032844,-10.067612660740666,-8.620776979926015,-2.0554642152564973
2025-07-20 00:00:00+00:00,0.92,0.08,0.08,74.1275,20.316668,8.099999,10.352887,-4.1311602515293195,-3.5440519949818894,-1.4556442341886022
2025-07-21 00:00:00+00:00,0.91,0.09,0.09,70.38666666666667,18.295834,14.699999,16.009306,-1.268705880297094,-3.463087611006632,-3.6458711109361164
2025-07-22 00:00:00+00:00,0.92,0.08,0.08,72.8225,17.997915,2.7,15.374208,10.570947829283405,14.55307424739376,-0.1757523349303569
2025-07-23 00:00:00+00:00,0.9299999999999999,0.07,0.07,84.5925,18.068747,1.2,9.394384,-1.3904991643396314,-0.00018775456361863618,1.231685988201936
2025-07-24 00:00:00+00:00,0.92,0.08,0.08,91.66708333333334,19.060417,0.90000004,5.4715524,2.130104083641915,-1.9283673130616075,-2.791083847484488
2025-07-25 00:00:00+00:00,0.92,0.08,0.08,90.92708333333333,19.45625,1.3,7.555103,-0.9122191473686092,2.335912478428126,0.3954579455344165
2025-07-26 00:00:00+00:00,0.92,0.08,0.08,81.25,20.19375,0.8,8.637921,-9.252980141392374,-7.223249950607935,2.6409938576468006
2025-07-27 00:00:00+00:00,0.92,0.08,0.08,70.66791666666667,17.641668,6.299999,8.099832,-1.846680287253144,-4.330130829188505,0.04399731625062131
2025-07-28 00:00:00+00:00,0.92,0.08,0.08,80.34416666666667,16.874996,0.8000001,10.27624,12.154944981484995,12.463222871368341,0.3189861042460107
2025-07-29 00:00:00+00:00,0.91,0.09,0.09,74.88458333333334,17.389584,2.1999998,9.702161,0.3772802574399048,1.0251278209227666,0.9664574299486306
2025-07-30 00:00:00+00:00,0.92,0.08,0.08,72.15041666666666,17.456251,0.70000005,9.479099,-0.7469241574733054,0.06789889349620992,1.7953465720764061
2025-07-31 00:00:00+00:00,0.91,0.09,0.09,85.22375,18.024996,14.800001,11.636478,-0.009267272302726504,-1.271434373964142,0.5104001171345018
2025-08-01 00:00:00+00:00,0.91,0.09,0.09,83.67583333333333,16.947916,1.3000002,11.135834,-1.2817501557429778,0.5808713890429473,2.406836055054651
2025-08-02 00:00:00+00:00,0.91,0.09,0.09,58.19416666666667,15.827081,2.4,13.028936,-6.754562171485978,-8.392796616203867,0.6076444794999913
2025-08-03 00:00:00+00:00,0.91,0.09,0.09,39.82666666666667,17.687502,2.8,14.337172,-3.4284398462802623,-2.8560843291988047,1.2039208603180418
2025-08-04 00:00:00+00:00,0.92,0.08,0.08,52.39333333333334,20.612501,2.4,16.595133,15.15637004814483,15.765890564605867,1.7395913237485239
2025-08-05 00:00:00+00:00,0.92,0.08,0.08,26.44125,18.11875,0.9000001,13.363182,-0.6142331743889451,1.3381850290608899,3.7382500498071236
2025-08-06 00:00:00+00:00,0.92,0.08,0.08,61.22,17.6625,0.0,6.2296753,0.2768642383190967,-0.4073435879169973,3.030424539872678
2025-08-07 00:00:00+00:00,0.9,0.1,0.1,60.64416666666667,20.164583,0.0,10.653044,1.156383128650007,-0.05426788424136575,1.7973447878100846
2025-08-08 00:00:00+00:00,0.92,0.08,0.08,68.34041666666667,20.133333,0.0,9.987288,-0.33774740134614456,-0.5011616782867545,1.6304296413105712
2025-08-09 00:00:00+00:00,0.91,0.09,0.09,47.99041666666667,19.039583,0.0,8.066104,-8.059776316029776,-9.97404676705722,-0.48559880186911375
2025-08-10 00:00:00+00:00,0.9,0.1,0.1,43.395,20.154167,0.0,6.5001206,-3.0776266152402254,-2.4131949671969966,0.19660196646769101
2025-08-11 00:00:00+00:00,0.92,0.08,0.08,73.18833333333333,22.8375,0.0,9.411292,17.995688149875356,15.908352510294144,-1.5758690579301904
2025-08-12 00:00:00+00:00,0.91,0.09,0.09,83.25083333333333,25.854166,0.0,6.850597,3.6853239326815723,3.6576687566231003,-1.6021209571032147
2025-08-13 00:00:00+00:00,0.9299999999999999,0.07,0.07,99.58333333333333,25.918753,0.0,6.822875,1.9651753627803359,1.8149682195726768,-1.7470730376163868
2025-08-14 00:00:00+00:00,0.92,0.08,0.08,97.24291666666666,25.456251,1.5,8.52416,0.5370465127499502,-1.5371912635824936,-3.7741858264803696
2025-08-15 00:00:00+00:00,0.94,0.06,0.06,69.1775,22.483332,0.0,7.4034595,-14.012959885950005,-12.528389483790114,-2.1128424954822367
2025-08-16 00:00:00+00:00,0.94,0.06,0.06,57.97958333333333,19.616669,0.2,11.43695,-1.4184717780485578,1.0518387378214644,0.34006809449773634
2025-08-17 00:00:00+00:00,0.9299999999999999,0.07,0.07,60.26625000000001,18.147913,0.0,10.060706,-2.9315325565063444,-1.9388909885685202,1.3661657052207232
2025-08-18 00:00:00+00:00,0.92,0.08,0.08,85.84625,21.085417,0.1,9.734552,15.966468536890721,13.720666231724099,-0.5968876797693423
2025-08-19 00:00:00+00:00,0.9299999999999999,0.07,0.07,75.73625,22.325003,0.0,9.23194,3.7035971306662807,3.403538769813408,-0.8845029194692877
2025-08-20 00:00:00+00:00,0.9299999999999999,0.07,0.07,80.17416666666666,19.158333,0.0,11.656856,-1.45586854946953,0.18946017079524147,0.7703655295137057
2025-08-21 00:00:00+00:00,0.92,0.08,0.08,76.9275,18.44375,0.0,13.443046,-0.6296840108950708,-2.303749754225426,-0.9272864825251137
2025-08-22 00:00:00+00:00,0.9299999999999999,0.07,0.07,85.18916666666667,16.025002,0.5,7.7808313,-1.2140582351417017,-2.721550487177593,-2.4391549260255885
2025-08-23 00:00:00+00:00,0.92,0.08,0.08,69.43083333333333,16.472918,0.3,9.606576,-10.254884591285885,-7.692149791506154,0.3467635234448707
2025-08-24 00:00:00+00:00,0.9299999999999999,0.07,0.07,62.44166666666666,16.252085,0.0,5.3687234,-4.055688833648929,-5.134626370794615,-0.7816815983175629
2025-08-25 00:00:00+00:00,0.92,0.08,0.08,85.49624999999999,18.752085,0.0,7.0041366,15.284039873817035,16.06482897700381,-0.10970148789340994
2025-08-26 00:00:00+00:00,0.94,0.06,0.06,86.64458333333334,22.139585,0.0,12.279257,5.082353813649143,3.364079283458943,-1.7430771167913806
2025-08-27 00:00:00+00:00,0.9299999999999999,0.07,0.07,96.61041666666667,20.860418,0.0,8.948538,0.8694014691241536,-0.10444528863865488,-2.6917016192065324
2025-08-28 00:00:00+00:00,0.91,0.09,0.09,87.46749999999999,19.335417,1.3000001,10.688426,0.1706996672879324,-0.7139787660931041,-3.5511001584243695
2025-08-29 00:00:00+00:00,0.9299999999999999,0.07,0.07,69.66,16.50625,2.7999997,14.981168,-4.845135887408425,-0.5746132606750387,0.7774984154712117
2025-08-30 00:00:00+00:00,0.91,0.09,0.09,51.259166666666665,17.66875,0.5,15.938161,-8.889905617921857,-11.486094591202644,-2.094163960860762
2025-08-31 00:00:00+00:00,0.91,0.09,0.09,39.92958333333333,19.318748,2.1999998,12.090132,-1.522986019015271,-3.601474099581603,-4.16059657288661
2025-09-01 00:00:00+00:00,0.9299999999999999,0.07,0.07,67.74,17.683332,0.4,13.603793,15.077174036350382,16.89480383562223,-2.6468249924467724
2025-09-02 00:00:00+00:00,0.9299999999999999,0.07,0.07,71.63458333333334,16.727083,0.1,15.717897,-0.6791904336367782,3.147803695134055,1.104352940936515
2025-09-03 00:00:00+00:00,0.9,0.1,0.1,36.192083333333336,19.168749,2.0,22.630735,0.9585602779584868,-0.43184488866130355,-0.2880600878328643
2025-09-04 00:00:00+00:00,0.9299999999999999,0.07,0.07,59.64416666666667,17.225,5.2000003,15.261298,0.10103566777504014,-0.8626638300489486,-1.2480136565384936
